<_csv.reader object at 0x7f878de6ea50>
Year/Année,Month/Mois,0
1980,Apr,4071
1980,Aug,4253
1980,Dec,4806
1980,Feb,4359
1980,Jan,4592
1980,Jul,4280
1980,Jun,4014
1980,Mar,4913
1980,May,4312
1980,Nov,4382
1980,Oct,4322
1980,Sep,4004
1981,Apr,4132
1981,Aug,4354
1981,Dec,4763
1981,Feb,4022
1981,Jan,5122
1981,Jul,4263
1981,Jun,4098
1981,Mar,4368
1981,May,4459
1981,Nov,4315
1981,Oct,4498
1981,Sep,4076
1982,Apr,4356
1982,Aug,4239
1982,Dec,5039
1982,Feb,4020
1982,Jan,4838
1982,Jul,4440
1982,Jun,4193
1982,Mar,4604
1982,May,4372
1982,Nov,4394
1982,Oct,4386
1982,Sep,4270
1983,Apr,4491
1983,Aug,4213
1983,Dec,4757
1983,Feb,4081
1983,Jan,5297
1983,Jul,4506
1983,Jun,4536
1983,Mar,4601
1983,May,4538
1983,Nov,4459
1983,Oct,4459
1983,Sep,4067
1984,Apr,4653
1984,Aug,4392
1984,Dec,5036
1984,Feb,4087
1984,Jan,4674
1984,Jul,4364
1984,Jun,4298
1984,Mar,4829
1984,May,4563
1984,Nov,4550
1984,Oct,4564
1984,Sep,4367
1985,Apr,4553
1985,Aug,4325
1985,Dec,5178
1985,Feb,4594
1985,Jan,5110
1985,Jul,4415
1985,Jun,4345
1985,Mar,5363
1985,May,4652
1985,Nov,4559
1985,Oct,4812
1985,Sep,4194
1986,Apr,4628
1986,Aug,4384
1986,Dec,5161
1986,Feb,4909
1986,Jan,5182
1986,Jul,4507
1986,Jun,4386
1986,Mar,5483
1986,May,4603
1986,Nov,4768
1986,Oct,4798
1986,Sep,4540
1987,Apr,4701
1987,Aug,4670
1987,Dec,4931
1987,Feb,4484
1987,Jan,5143
1987,Jul,4947
1987,Jun,4604
1987,Mar,5063
1987,May,4770
1987,Nov,4935
1987,Oct,4933
1987,Sep,4638
1988,Apr,4951
1988,Aug,4773
1988,Dec,5258
1988,Feb,5107
1988,Jan,5426
1988,Jul,5227
1988,Jun,4692
1988,Mar,5686
1988,May,5033
1988,Nov,4675
1988,Oct,4982
1988,Sep,4583
1989,Apr,4984
1989,Aug,4805
1989,Dec,6109
1989,Feb,4588
1989,Jan,5432
1989,Jul,5120
1989,Jun,4565
1989,Mar,5299
1989,May,5053
1989,Nov,5015
1989,Oct,5189
1989,Sep,4580
1990,Apr,5083
1990,Aug,4803
1990,Dec,5325
1990,Feb,4587
1990,Jan,5995
1990,Jul,4889
1990,Jun,4752
1990,Mar,5028
1990,May,4954
1990,Nov,5138
1990,Oct,5173
1990,Sep,4779
1991,Apr,5185
1991,Aug,4992
1991,Dec,6169
1991,Feb,4877
1991,Jan,5666
1991,Jul,5072
1991,Jun,4956
1991,Mar,5496
1991,May,5218
1991,Nov,5342
1991,Oct,5292
1991,Sep,4928
1992,Apr,5045
1992,Aug,5073
1992,Dec,5595
1992,Feb,5152
1992,Jan,5883
1992,Jul,4993
1992,Jun,4949
1992,Mar,5405
1992,May,5335
1992,Nov,5278
1992,Oct,5581
1992,Sep,4883
1993,Apr,5600
1993,Aug,5236
1993,Dec,6090
1993,Feb,5284
1993,Jan,5758
1993,Jul,5264
1993,Jun,5128
1993,Mar,6316
1993,May,5445
1993,Nov,5474
1993,Oct,5648
1993,Sep,5180
1994,Apr,5363
1994,Aug,5162
1994,Dec,6158
1994,Feb,5575
1994,Jan,7232
1994,Jul,5336
1994,Jun,5388
1994,Mar,5764
1994,May,5580
1994,Nov,5434
1994,Oct,5647
1994,Sep,5227
1995,Apr,5861
1995,Aug,5242
1995,Dec,6064
1995,Feb,5863
1995,Jan,6108
1995,Jul,5524
1995,Jun,5367
1995,Mar,6432
1995,May,5840
1995,Nov,5486
1995,Oct,5570
1995,Sep,5210
1996,Apr,5642
1996,Aug,5438
1996,Dec,6751
1996,Feb,5661
1996,Jan,6309
1996,Jul,5407
1996,Jun,5263
1996,Mar,6147
1996,May,5685
1996,Nov,5778
